region,year,gdp,ftrd,im,ex,go,tbe,exf,imf,imi,exi,gtrd,ishare,itrd
ROW,2002,3352394.51103,732028.978782,1252329.84609,1102602.17157,6543553.25005,-149727.674523,352120.274159,379908.704623,872421.141468,750481.897409,2354932.01766,0.689150695947,1622903.03888
ROW,2003,3736360.29053,835123.323478,1469427.24284,1308815.1308,7373150.32141,-160612.11203,396750.111776,438373.211702,1031054.03113,912065.019029,2778242.37364,0.69940587927,1943119.05016
ROW,2004,4357033.22786,964256.053476,1797530.83477,1623206.21745,8620444.58876,-174324.617323,451867.087668,512388.965808,1285141.86896,1171339.12978,3420737.05222,0.718114535331,2456480.99874
ROW,2005,5050013.02843,1131442.98391,2133448.93031,2014786.55593,10018945.0508,-118662.37438,522997.236444,608445.747462,1525003.18285,1491789.31949,4148235.48625,0.727247166257,3016792.50234
ROW,2006,5791309.42989,1268624.27362,2477531.0707,2317531.53401,11505716.7767,-159999.536693,558831.830233,709792.443384,1767738.62732,1758699.70378,4795062.60471,0.73543113444,3526438.33109
ROW,2007,6786121.06321,1553457.43573,3027613.30116,2656330.43267,13579035.7644,-371282.868492,650698.66442,902758.771313,2124854.52985,2005631.76825,5683943.73383,0.726693734407,4130486.2981
ROW,2008,8480755.57916,1898416.99993,3628901.82818,3372412.7734,17045867.1288,-256489.054779,796731.952232,1101685.04769,2527216.78048,2575680.82117,7001314.60158,0.728848493753,5102897.60165
ROW,2009,7862538.75185,1566050.44935,2836207.06856,2389374.69027,16043223.2635,-446832.378293,667398.957094,898651.492257,1937555.5763,1721975.73317,5225581.75883,0.700310793778,3659531.30947
ROW,2010,9015523.05701,1857882.2958,3312515.789,2897291.85429,18287963.9267,-415223.934709,780014.061565,1077868.23424,2234647.55476,2117277.79273,6209807.64329,0.700814839601,4351925.34749
ROW,2011,10873575.9919,1963014.81913,3527654.4365,3229246.85481,22103923.496,-298407.581692,817780.264362,1145234.55477,2382419.88173,2411466.59044,6756901.2913,0.709480021314,4793886.47217
WLD,1995,29158559.3098,2717730.49561,0.0,3702603.59205,55182308.5367,0.0,1358865.24781,0.0,0.0,2343738.34425,7405207.1841,4687476.68849,4687476.68849
WLD,1996,29864715.8457,2858693.24876,0.0,3929601.82499,56556389.0504,0.0,1429346.62438,0.0,0.0,2500255.20061,7859203.64998,5000510.40122,5000510.40122
WLD,1997,29809616.2202,2836478.51432,0.0,3960155.06667,56598550.2993,0.0,1418239.25716,0.0,0.0,2541915.8095,7920310.13333,5083831.61901,5083831.61901
WLD,1998,29587575.7693,2957411.13045,0.0,3901936.43793,56060688.4328,0.0,1478705.56523,0.0,0.0,2423230.8727,7803872.87586,4846461.74541,4846461.74541
WLD,1999,30684148.0675,3157112.35024,0.0,4219336.01804,58306395.8341,0.0,1578556.17512,0.0,0.0,2640779.84292,8438672.03608,5281559.68584,5281559.68584
WLD,2000,31634625.1634,3540225.19853,0.0,4932215.29206,60817361.9019,0.0,1770112.59926,0.0,0.0,3162102.6928,9864430.58412,6324205.3856,6324205.3856
WLD,2001,31411723.1292,3525544.14238,0.0,4813532.02122,60202725.9733,0.0,1762772.07119,0.0,0.0,3050759.95003,9627064.04244,6101519.90006,6101519.90006
WLD,2002,32742607.231,3715985.01627,0.0,5016457.50545,62263778.5855,0.0,1857992.50813,0.0,0.0,3158464.99732,10032915.0109,6316929.99464,6316929.99464
WLD,2003,36671129.1332,4193641.92841,0.0,5773993.36488,70209291.8669,0.0,2096820.9642,0.0,0.0,3677172.40068,11547986.7298,7354344.80135,7354344.80135
WLD,2004,41212134.534,4780786.64443,0.0,7018544.70342,79623724.2736,0.0,2390393.32222,0.0,0.0,4628151.38121,14037089.4068,9256302.76241,9256302.76241
WLD,2005,44574049.0268,5408197.8661,0.0,8148907.25478,87525633.8787,0.0,2704098.93305,0.0,0.0,5444808.32173,16297814.5096,10889616.6435,10889616.6435
WLD,2006,48252629.697,6104915.25685,0.0,9374984.48455,95929115.3037,0.0,3052457.62842,0.0,0.0,6322526.85612,18749968.9691,12645053.7122,12645053.7122
WLD,2007,54364469.3917,7126843.89818,0.0,10947817.9535,109397506.894,0.0,3563421.94909,0.0,0.0,7384396.00443,21895635.9071,14768792.0089,14768792.0089
WLD,2008,60099242.0397,8099302.89874,0.0,12721247.1907,122789481.799,0.0,4049651.44937,0.0,0.0,8671595.74132,25442494.3814,17343191.4826,17343191.4826
WLD,2009,56944279.6085,6759877.48525,0.0,9838838.09106,114158105.328,0.0,3379938.74262,0.0,0.0,6458899.34844,19677676.1821,12917798.6969,12917798.6969
WLD,2010,61999419.8217,8015386.84008,0.0,11970702.6021,125840524.142,0.0,4007693.42004,0.0,0.0,7963009.18206,23941405.2042,15926018.3641,15926018.3641
WLD,2011,69272577.4366,8828986.36478,0.0,13561583.3397,141767883.94,0.0,4414493.18239,0.0,0.0,9147090.15734,27123166.6795,18294180.3147,18294180.3147
