,country,year,div,fa_risky_frac,fl_risky_frac,fa_safe_frac,fl_safe_frac,fdia_frac,fdil_frac,risky_frac_assets,safe_frac_liabilities,weight1,weight2
89,,1975,,,,,,,,1.88953427931,78.7084168317,,15433.5075927
90,,1976,,,,,,,,1.36999039088,80.9353886909,,17377.4581712
91,,1977,,,,,,,,1.50225187335,86.7510745318,,21037.3605523
92,,1978,,,,,,,,1.19212156075,89.9707134852,,26444.7466702
93,,1979,,,,,,,,1.18650558495,91.2272778687,,33274.9465716
94,,1980,,,,,,,,1.25263044744,90.0973555126,,42345.8276875
95,,1981,,,,,,,,1.33118875691,89.5599429498,,44371.7598078
96,,1982,,,,,,,,2.18712408452,89.4163890752,,44779.98336
97,,1983,,,,,,,,2.78366115141,88.6849275472,,47528.9851135
98,,1984,,,,,,,,3.75796263648,88.3806492727,,51512.7864664
99,,1985,,,,,,,,2.33986341744,89.7323495585,,61132.0786198
100,,1986,,,,,,,,4.37069210444,91.5342711475,,61535.2704408
101,,1987,,,,,,,,5.38949662539,92.095192672,,63299.5974151
102,,1988,,,,,,,,6.99659834126,92.51570256,,51664.1925007
103,,1989,,,,,,,,6.38653543116,92.7699340397,,52558.2856887
104,,1990,,,,,,,,6.33641886972,92.9851088229,,61892.2114688
105,,1991,,,,,,,,5.31043971082,93.0267563391,,46669.8424728
106,,1992,,,,,,,,5.13045191439,92.6631690442,,49216.6605605
107,,1993,,,,,,,,5.07796199499,92.385428547,,50962.6900835
108,,1994,,,,,,,,3.62969076233,93.3175457318,,42425.6253744
109,,1995,,,,,,,,4.95692976775,93.8507110228,,42065.963116
110,,1996,,,,,,,,3.05851150871,93.2511514972,,46941.4966483
111,,1997,,,,,,,,1.50503522213,91.9768757567,,48177.8640373
112,,1998,,,,,,,,1.74018515449,90.2753027,,48187.5874632
113,,1999,,,,,,,,2.28835631384,88.6693956615,,48845.075188
114,,2000,,,,,,,,1.21254885808,86.7555506648,,54748.9593914
115,,2001,,,,,,,,0.888295819983,81.9802632417,,54744.5444538
116,,2002,,,,,,,,1.12165732727,79.1009021931,,56760.6947123
117,,2003,,,,,,,,0.96479011482,78.0360931993,,67863.5570773
118,,2004,,,,,,,,1.39413617017,74.6731201502,,85326.7800176
119,,2005,,,,,,,,0.957787361013,65.8177999938,,103198.430325
120,,2006,,,,,,,,0.760138303304,35.9670481332,,117208.486654
121,,2007,,,,,,,,0.847323160503,33.4668366208,,135174.997547
122,,2008,,,,,,,,0.867334737703,29.6649634517,,171517.803502
123,,2009,,,,,,,,0.988269035562,29.2642085823,,137586.637866
124,,2010,,,,,,,,1.0195191773,26.4278009476,,161783.167483
125,,2011,,,,,,,,1.20566903838,20.9461836483,,198768.216302
126,AGO,1970,,,,,,,,,,0.0,0.0
127,AGO,1971,,,,,,,,,,0.0,0.0
128,AGO,1972,,,,,,,,,,0.0,0.0
129,AGO,1973,,,,,,,,,,0.0,0.0
130,AGO,1974,,,,,,,,,,0.0,0.0
131,AGO,1975,,,,,,,,,,0.0,0.0
132,AGO,1976,,,,,,,,,,0.0,0.0
133,AGO,1977,,,,,,,,,,0.0,0.0
134,AGO,1978,,,,,,,,,,0.0,0.0
135,AGO,1979,,,,,,,,,,0.0,0.0
136,AGO,1980,,,,,,,,,,0.0,0.0
137,AGO,1981,,,,,,,,,,0.0,0.0
138,AGO,1982,,,,,,,,,,0.0,0.0
139,AGO,1983,,,,,,,,,,0.0,0.0
140,AGO,1984,,,,,,,,,,0.0,0.0
141,AGO,1985,48.8541336289,0.0,5.966088248,3.11207866323,88.6301003465,0.0,5.966088248,0.0,93.6930987002,0.0,0.0
142,AGO,1986,55.9271952131,0.0,8.84657527172,2.94036499383,100.067450161,0.0,8.84657527172,0.0,91.8774691904,0.0,0.0
143,AGO,1987,58.6417196273,0.0,10.0662650376,3.74176570052,103.475408517,0.0,10.0662650376,0.0,91.1342992203,0.0,0.0
144,AGO,1988,41.8433469989,0.0,8.29389296433,3.01358593511,72.3792150985,0.0,8.29389296433,0.0,89.7191354548,0.0,0.0
145,AGO,1989,32.1983710918,0.0,7.45617681258,2.64518119962,54.2953841714,0.0,7.45617681258,0.0,87.9255249685,0.0,0.0
146,AGO,1990,36.9712140889,0.0,5.58863280258,3.75730747316,64.5964879021,0.0,5.58863280258,0.0,92.0372968708,0.0,0.0
147,AGO,1991,45.6833724314,0.0,11.0552135545,4.18939649289,76.1221348153,0.0,11.0552135545,0.0,87.318708631,0.0,0.0
148,AGO,1992,132.767430711,0.0,34.6354848443,19.9242959812,210.975080597,0.0,34.6354848443,0.0,85.8982105342,0.0,0.0
149,AGO,1993,105.501636711,0.0,31.805764957,9.32694164852,169.870566817,0.0,31.805764957,0.0,84.2293021312,0.0,0.0
150,AGO,1994,864.035552436,0.0,266.292694905,76.5532127426,1385.22519722,0.0,266.292694905,0.0,83.8758819281,0.0,0.0
151,AGO,1995,105.615591574,0.0,37.5441728111,12.5912260215,161.095784315,0.0,37.5441728111,0.0,81.0993853632,0.0,0.0
